,mal_id,episodes,airing,duration,rating,score,scored_by,rank,popularity,year,genres,Action,Adventure,Award Winning,Comedy,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
24,68,23.0,False,24,14,7.33,128495.0,2459.0,871,2005.0,"Action,Adventure,Sci-Fi",1,1,0,0,0,0,0,0,0,1,0,0,0,0
0,69,25.0,False,24,14,6.3,3022.0,7746.0,6040,2005.0,"Action,Fantasy,Sci-Fi",1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,71,24.0,False,24,18,7.6,239592.0,1434.0,438,2002.0,"Action,Comedy,Sci-Fi",1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,72,12.0,False,24,14,8.03,173767.0,574.0,798,2003.0,"Action,Comedy",1,0,0,1,0,0,0,0,0,0,0,0,0,0
3,73,13.0,False,24,18,7.92,147380.0,723.0,906,2005.0,Action,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,74,26.0,False,25,0,7.64,50982.0,1333.0,2031,2004.0,"Comedy,Fantasy",0,0,0,1,0,1,0,0,0,0,0,0,0,0
5,75,25.0,False,24,14,7.26,14961.0,2858.0,3081,2004.0,"Action,Drama,Sci-Fi",1,0,0,0,1,0,0,0,0,1,0,0,0,0
6,76,13.0,False,25,14,7.41,41739.0,2112.0,1977,2004.0,"Action,Comedy,Drama,Fantasy",1,0,0,1,1,1,0,0,0,0,0,0,0,0
7,77,13.0,False,25,14,7.97,33500.0,645.0,2634,2005.0,"Action,Comedy,Drama,Fantasy",1,0,0,1,1,1,0,0,0,0,0,0,0,0
8,79,24.0,False,24,16,7.02,134886.0,4057.0,845,2005.0,"Comedy,Drama,Fantasy,Romance,Ecchi",0,0,0,1,1,1,0,0,1,0,0,0,0,0
9,80,43.0,False,25,14,7.77,58887.0,1006.0,1656,1979.0,"Action,Drama,Sci-Fi",1,0,0,0,1,0,0,0,0,1,0,0,0,0
14,85,50.0,False,24,14,7.9,37373.0,756.0,2437,1985.0,"Drama,Romance,Sci-Fi",0,0,0,0,1,0,0,0,1,1,0,0,0,0
15,86,47.0,False,24,14,6.69,20924.0,5580.0,3310,1986.0,"Comedy,Drama,Sci-Fi",0,0,0,1,1,0,0,0,0,1,0,0,0,0
